group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Means,Par,100000000,,,56073250.0,ns,2
Means,Par,100000000,,,53973375.0,ns,2
Means,Par,100000000,,,53888792.0,ns,2
Means,Par,100000000,,,54570959.0,ns,2
Means,Par,100000000,,,54913292.0,ns,2
Means,Par,100000000,,,53986000.0,ns,2
Means,Par,100000000,,,54540417.0,ns,2
Means,Par,100000000,,,53664750.0,ns,2
Means,Par,100000000,,,54137333.0,ns,2
Means,Par,100000000,,,53566125.0,ns,2
Means,Par,100000000,,,54748292.0,ns,2
Means,Par,100000000,,,54303084.0,ns,2
Means,Par,100000000,,,53966208.0,ns,2
Means,Par,100000000,,,58229291.0,ns,2
Means,Par,100000000,,,53586459.0,ns,2
Means,Par,100000000,,,54691625.0,ns,2
Means,Par,100000000,,,53605667.0,ns,2
Means,Par,100000000,,,53788250.0,ns,2
Means,Par,100000000,,,54746500.0,ns,2
Means,Par,100000000,,,53917833.0,ns,2
Means,Par,100000000,,,54942041.0,ns,2
Means,Par,100000000,,,53757000.0,ns,2
Means,Par,100000000,,,55208250.0,ns,2
Means,Par,100000000,,,54727750.0,ns,2
Means,Par,100000000,,,53763125.0,ns,2
Means,Par,100000000,,,53899250.0,ns,2
Means,Par,100000000,,,54920333.0,ns,2
Means,Par,100000000,,,53883250.0,ns,2
Means,Par,100000000,,,53729041.0,ns,2
Means,Par,100000000,,,53711000.0,ns,2
Means,Par,100000000,,,53565959.0,ns,2
Means,Par,100000000,,,54137542.0,ns,2
Means,Par,100000000,,,53853125.0,ns,2
Means,Par,100000000,,,54678667.0,ns,2
Means,Par,100000000,,,53874709.0,ns,2
Means,Par,100000000,,,53823958.0,ns,2
Means,Par,100000000,,,53491334.0,ns,2
Means,Par,100000000,,,53819709.0,ns,2
Means,Par,100000000,,,54221041.0,ns,2
Means,Par,100000000,,,53566208.0,ns,2
Means,Par,100000000,,,54453167.0,ns,2
Means,Par,100000000,,,53854375.0,ns,2
Means,Par,100000000,,,53466958.0,ns,2
Means,Par,100000000,,,53899500.0,ns,2
Means,Par,100000000,,,54632041.0,ns,2
Means,Par,100000000,,,53631666.0,ns,2
Means,Par,100000000,,,54749875.0,ns,2
Means,Par,100000000,,,53644083.0,ns,2
Means,Par,100000000,,,53514958.0,ns,2
Means,Par,100000000,,,53636250.0,ns,2
Means,Par,100000000,,,54986708.0,ns,2
Means,Par,100000000,,,53764250.0,ns,2
Means,Par,100000000,,,54348625.0,ns,2
Means,Par,100000000,,,53569875.0,ns,2
Means,Par,100000000,,,54145375.0,ns,2
Means,Par,100000000,,,53733125.0,ns,2
Means,Par,100000000,,,54839167.0,ns,2
Means,Par,100000000,,,53441958.0,ns,2
Means,Par,100000000,,,53938750.0,ns,2
Means,Par,100000000,,,54160875.0,ns,2
Means,Par,100000000,,,54021625.0,ns,2
Means,Par,100000000,,,54625917.0,ns,2
Means,Par,100000000,,,53847625.0,ns,2
Means,Par,100000000,,,53655292.0,ns,2
Means,Par,100000000,,,54317958.0,ns,2
Means,Par,100000000,,,54949125.0,ns,2
Means,Par,100000000,,,54582292.0,ns,2
Means,Par,100000000,,,54695458.0,ns,2
Means,Par,100000000,,,53710292.0,ns,2
Means,Par,100000000,,,53739667.0,ns,2
Means,Par,100000000,,,53550208.0,ns,2
Means,Par,100000000,,,54309750.0,ns,2
Means,Par,100000000,,,53626667.0,ns,2
Means,Par,100000000,,,53563167.0,ns,2
Means,Par,100000000,,,54553084.0,ns,2
Means,Par,100000000,,,54106083.0,ns,2
Means,Par,100000000,,,54337583.0,ns,2
Means,Par,100000000,,,54823750.0,ns,2
Means,Par,100000000,,,54599541.0,ns,2
Means,Par,100000000,,,53726792.0,ns,2
Means,Par,100000000,,,55016041.0,ns,2
Means,Par,100000000,,,54005083.0,ns,2
Means,Par,100000000,,,53924250.0,ns,2
Means,Par,100000000,,,54045083.0,ns,2
Means,Par,100000000,,,53692125.0,ns,2
Means,Par,100000000,,,54224250.0,ns,2
Means,Par,100000000,,,54146750.0,ns,2
Means,Par,100000000,,,53838709.0,ns,2
Means,Par,100000000,,,54295458.0,ns,2
Means,Par,100000000,,,53767334.0,ns,2
Means,Par,100000000,,,53645375.0,ns,2
